city,lat,lng,max_temp,humidity,windspeed,cloudiness,country,date
hilo,19.73,-155.09,69.8,88,5.82,75,US,1592407872
toowoomba,-27.55,151.97,54.0,93,4.7,90,AU,1592408148
ushuaia,-54.8,-68.3,39.2,80,11.41,40,AR,1592407846
mar del plata,-38.0,-57.56,66.2,88,12.75,75,AR,1592407883
rikitea,-23.12,-134.97,75.07,81,15.86,61,PF,1592408149
nipawin,53.37,-104.0,51.8,100,19.46,90,CA,1592408149
arraial do cabo,-22.97,-42.03,77.0,57,10.29,40,BR,1592408079
saskylakh,71.92,114.08,53.73,63,9.15,0,RU,1592408149
svetlyy,54.67,20.13,69.8,64,13.42,12,RU,1592408313
new norfolk,-42.78,147.06,35.01,88,2.55,0,AU,1592407873
kologriv,58.83,44.32,65.12,67,4.9,0,RU,1592408149
buta,2.79,24.73,79.11,71,1.52,98,CD,1592408150
port elizabeth,-33.92,25.57,62.6,77,9.17,0,ZA,1592408150
meulaboh,4.14,96.13,79.75,79,4.25,99,ID,1592408150
cabo san lucas,22.89,-109.91,86.0,30,6.93,5,MX,1592408082
bang sai,14.21,100.5,77.0,94,1.92,75,TH,1592408150
jamestown,42.1,-79.24,73.0,53,8.05,1,US,1592408150
port lincoln,-34.73,135.87,57.0,62,15.41,0,AU,1592408150
atuona,-9.8,-139.03,79.93,75,15.97,63,PF,1592408313
vaini,-21.2,-175.2,71.6,83,8.05,20,TO,1592408314
manakara,-22.13,48.02,66.4,71,6.69,50,MG,1592408314
punta arenas,-53.15,-70.92,33.8,86,6.93,0,CL,1592408314
tuktoyaktuk,69.45,-133.04,42.8,93,8.05,90,CA,1592408416
mataura,-46.19,168.86,39.0,83,3.0,97,NZ,1592408097
saint george,37.1,-113.58,73.4,33,17.22,1,US,1592407841
faanui,-16.48,-151.75,80.26,80,10.56,100,PF,1592408097
cao bang,22.67,106.25,77.07,88,3.74,16,VN,1592408097
hermanus,-34.42,19.23,61.0,60,3.44,0,ZA,1592408072
brownsville,25.9,-97.5,86.0,70,11.41,90,US,1592407905
bambous virieux,-20.34,57.76,70.0,94,18.34,75,MU,1592408098
hobart,-42.88,147.33,35.6,82,8.05,0,AU,1592407896
